document_id,filename,source_collection,source_repository,source_branch,source_repo_path,source_raw_url,usefulness,notes,local_relative_path
bhuj_github_001,report-eefit-bhuj-india-20190814.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,report-eefit-bhuj-india-20190814 (1).pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/report-eefit-bhuj-india-20190814%20%281%29.pdf,high,EEFIT field report with observations on building performance and earthquake damage.,data/reports/bhuj_2001_github/report-eefit-bhuj-india-20190814.pdf
bhuj_github_002,india_bhuj_eeri_preliminary_report.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,india_bhuj_eeri_preliminary_report.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/india_bhuj_eeri_preliminary_report.pdf,high,EERI preliminary reconnaissance report with observations on building failures and earthquake damage.,data/reports/bhuj_2001_github/india_bhuj_eeri_preliminary_report.pdf
bhuj_github_003,2749_EQRBhuj.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,2749_EQRBhuj.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/2749_EQRBhuj.pdf,high,Bhuj earthquake reconnaissance-style reference report.,data/reports/bhuj_2001_github/2749_EQRBhuj.pdf
bhuj_github_004,2713_Other200104GujaratEQTR0101.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,2713_Other200104GujaratEQTR0101.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/2713_Other200104GujaratEQTR0101.pdf,high,Gujarat earthquake observations supporting damage and disaster context.,data/reports/bhuj_2001_github/2713_Other200104GujaratEQTR0101.pdf
bhuj_github_005,Bhuj-quake2001.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,Bhuj-quake2001.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/Bhuj-quake2001.pdf,high,Bhuj 2001 earthquake overview and context report.,data/reports/bhuj_2001_github/Bhuj-quake2001.pdf
bhuj_github_006,india.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,india.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/india.pdf,medium,India/Bhuj earthquake compilation useful for background and contextual reference.,data/reports/bhuj_2001_github/india.pdf
bhuj_github_007,paper028.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,paper028.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/paper028.pdf,medium,Research paper retained for literature context.,data/reports/bhuj_2001_github/paper028.pdf
bhuj_github_008,Sairam2018-SiteEffectsintheAhmedabad.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,Sairam2018-SiteEffectsintheAhmedabad.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/Sairam2018-SiteEffectsintheAhmedabad.pdf,medium,Ahmedabad site-effects research useful for regional seismic context.,data/reports/bhuj_2001_github/Sairam2018-SiteEffectsintheAhmedabad.pdf
bhuj_github_009,IntensityBasedCasualtyModelsCaseStudy.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,IntensityBasedCasualtyModelsCaseStudy.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/IntensityBasedCasualtyModelsCaseStudy.pdf,medium,Intensity and casualty modeling case study; secondary contextual material.,data/reports/bhuj_2001_github/IntensityBasedCasualtyModelsCaseStudy.pdf
bhuj_github_010,India_Bhuj_Recovery_Nov03.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,India_Bhuj_Recovery_Nov03.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/India_Bhuj_Recovery_Nov03.pdf,low,Recovery-focused background document.,data/reports/bhuj_2001_github/India_Bhuj_Recovery_Nov03.pdf
bhuj_github_011,13_2042.pdf,GitHub_yashky25-cloud_bhuj-2001,https://github.com/yashky25-cloud/bhuj-2001,main,13_2042.pdf,https://raw.githubusercontent.com/yashky25-cloud/bhuj-2001/main/13_2042.pdf,low,Archived source document with opaque filename.,data/reports/bhuj_2001_github/13_2042.pdf
