image_id,filename,source_page,original_image_url,caption
bhuj_2001_slideshare_001,001_Earthquack-2001-Bhuj-Gujarat-1-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-1-2048.jpg,SHREE SWAMI ATMANAND SARSWATI INSTITUTE of TECHNOLOGY PREPARED BY: Gaurang Kakadiya
bhuj_2001_slideshare_002,002_Earthquack-2001-Bhuj-Gujarat-2-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-2-2048.jpg,2
bhuj_2001_slideshare_003,003_Earthquack-2001-Bhuj-Gujarat-3-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-3-2048.jpg,"Introduction Time & date : 8:46 am 26 January 2001 Place : Bhuj, Gujarat Magnitude : 7.9 Intensity : X Epicenter : 23.419°N 70.232°E Focal length : 23 kms Season : Winter Damages : •Over 18,600 persons are dead and over 167,000 injured. •The estimated economic loss due to this quake is placed at around Rs.22,000 Crores. 3"
bhuj_2001_slideshare_004,004_Earthquack-2001-Bhuj-Gujarat-4-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-4-2048.jpg,"• The earthquake was felt in most parts of the country and 20 districts in the state of Gujarat sustained damage. • The entire Kutch region of Gujarat, enclosed on three sides by the Great Runn of Kutch, the Little Runn of Kutch and the Arabian Sea, sustained highest damage with maximum intensity of shaking as high as X on the MSK intensity scale. • Twenty-one of the total 25 districts of the state was affected in this quake. Around 18 towns, 182 talukas and 7904 villages in the affected districts have seen large-scale devastation. • The affected areas even spread up to 300 km from the epicenter. • In the Kutch District, four major urban areas – Bhuj, Anjar, Bachau and Rapar suffered near total destruction. • The rural areas in the region are also very badly affected with over 450 villages almost totally destroyed 4"
bhuj_2001_slideshare_005,005_Earthquack-2001-Bhuj-Gujarat-5-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-5-2048.jpg,CAUSES OF EARTHQUAKES • Plate Tectonics The Indo-Australian and the Eurasian Plate collide into each other at the rate of around 2 cm per year and India lies on this margin. 5
bhuj_2001_slideshare_006,006_Earthquack-2001-Bhuj-Gujarat-6-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-6-2048.jpg,"Seismic Zone Map of India :- 2002 About 65 percent of the land area of India is liable to seismic hazard damage •26% under MSK Intensity VII, •18% under VIII and •12% under IX and higher 6"
bhuj_2001_slideshare_007,007_Earthquack-2001-Bhuj-Gujarat-7-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-7-2048.jpg,1819 Gujarat [Kutch] (2000 deaths) 2001 Gujarat [Bhuj] (13805 deaths) 7
bhuj_2001_slideshare_008,008_Earthquack-2001-Bhuj-Gujarat-8-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-8-2048.jpg,"Earthquack 2001 Bhuj,Gujarat — slide 8 of 33"
bhuj_2001_slideshare_009,009_Earthquack-2001-Bhuj-Gujarat-9-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-9-2048.jpg,Site of destruction of the villages 9
bhuj_2001_slideshare_010,010_Earthquack-2001-Bhuj-Gujarat-10-2048.webp,https://www.slideshare.net/slideshow/earthquack-2001-bhujgujarat/45917265,https://image.slidesharecdn.com/finaleq-150316214442-conversion-gate01/75/Earthquack-2001-Bhuj-Gujarat-10-2048.jpg,Reinforced Concrete Buildings Total collapse of a portion of a 10-storey residential building in Ahmedabad.10
