parameter_id,parameter_name,category,domain,data_type,allowed_values,unit,description,source_document,source_location,assessment_phase
P001,building_typology,building_typology,structural_system,categorical,"RC;BCBM;CM;RRSM;MH;DD;EH",,Primary building typology classification for Indian buildings,NDMA_RVS_Primer,Ch.3 pp.17 / Annexure B pp.26-55,pre_earthquake
P002,structural_system,building_typology,structural_system,categorical,"moment_frame;moment_frame_with_braces;moment_frame_with_shear_walls;flat_slab;load_bearing_masonry;confined_masonry;timber_frame;bamboo_frame",,Lateral-force-resisting structural system,NDMA_RVS_Primer,Form A:RC p.27 / Form A:BCBM p.31 / Form A:CM p.35,pre_earthquake
P003,material_type,building_typology,structural_system,categorical,"reinforced_concrete;burnt_clay_brick;cement_block;stone_block;mud;timber;bamboo;mixed",,Primary structural material,NDMA_RVS_Primer,Forms A:RC-EH pp.27-55,pre_earthquake
P004,mortar_type,building_typology,construction_details,categorical,"cement;lime;mud;none",,Mortar used in masonry construction,NDMA_RVS_Primer,Form A:BCBM p.31 / Form A:RRSM p.39,pre_earthquake
P005,number_of_stories,building_typology,geometry,integer,,,Number of storeys above ground,NDMA_RVS_Primer,All Forms A pp.27-55,pre_earthquake
P006,floor_type,building_typology,structural_system,categorical,"rc_slab;precast_with_screed;precast_concrete;timber_planks;timber_with_mud;timber_with_stone;brick_coba",,Floor diaphragm construction type,NDMA_RVS_Primer,Forms A:RC-EH pp.27-55,pre_earthquake
P007,roof_geometry,building_typology,geometry,categorical,"flat;pitched;hipped;split",,Roof geometric form,NDMA_RVS_Primer,Form A:RC p.27,pre_earthquake
P008,roof_material,building_typology,structural_system,categorical,"rc_slab;clay_tiles;cgi_sheets;wood_planks;thatch;stone_slabs",,Roof covering material,NDMA_RVS_Primer,Forms A:RC-EH pp.27-55,pre_earthquake
P009,occupancy,building_typology,use,categorical,"residential;educational;lifeline;commercial;office;mixed_use;industrial;other",,Building occupancy / use category,NDMA_RVS_Primer,All Forms A pp.27-55,pre_earthquake
P010,year_built,building_typology,age,integer,,years,Year of original construction,NDMA_RVS_Primer,All Forms A pp.27-55,pre_earthquake
P011,seismic_zone,vulnerability,hazard,categorical,"II;III;IV;V",,Indian seismic zone per IS 1893,NDMA_RVS_Primer,Tables 4-6 p.16 / IS 13935 Table 2 p.7,pre_earthquake
P012,soil_type,vulnerability,geotechnical,categorical,"hard;medium;soft;liquefiable",,Foundation soil classification,NDMA_RVS_Primer,Form A:RC p.27 / IS 13935 Forms 1-4 pp.33-36,pre_earthquake
P013,soft_story,vulnerability,configuration,boolean,,,Open ground or intermediate storey present,NDMA_RVS_Primer,Form A:RC RED 3.3 p.27 / EMS-98 p.37,pre_earthquake
P014,floating_columns,vulnerability,configuration,boolean,,,Columns supported on transfer beams not continuing to foundation,NDMA_RVS_Primer,Form A:RC RED 3.6 p.27,pre_earthquake
P015,plan_irregularity,vulnerability,configuration,boolean,,,Asymmetric or re-entrant plan shape (L/U/T/H),NDMA_RVS_Primer,Form A:RC RED 3.7 p.27 / IS 13935 Table 5 p.9,pre_earthquake
P016,vertical_irregularity,vulnerability,configuration,boolean,,,Setback at plinth / heavier upper storeys / mass irregularity,NDMA_RVS_Primer,Form A:RC RED 3.4 p.27 / IS 13935 Table 10 Note 2 p.30,pre_earthquake
P017,short_columns,vulnerability,configuration,boolean,,,Trapped or stub columns due to partial-height infills,NDMA_RVS_Primer,Form A:RC RED 3.5 p.27,pre_earthquake
P018,large_overhangs,vulnerability,configuration,boolean,,,Unanchored heavy projections / balconies / sunshades,NDMA_RVS_Primer,Form A:RC RED 3.8 p.27,pre_earthquake
P019,pounding_risk,vulnerability,siting,boolean,,,Building adjoins another with no seismic gap,NDMA_RVS_Primer,Form A:RC YELLOW 5.2 p.28,pre_earthquake
P020,slope_hazard,vulnerability,siting,boolean,,,Built on or adjacent to unstable hill slope,NDMA_RVS_Primer,Form A:RC RED 1.1 p.27,pre_earthquake
P021,liquefaction_risk,vulnerability,siting,boolean,,,Built on liquefiable soil,NDMA_RVS_Primer,Form A:RC RED 2.1 p.27 / IS 13935 Forms pp.33-36,pre_earthquake
P022,seismic_bands_present,vulnerability,structural_details,boolean,,,Continuous seismic bands at plinth/sill/lintel/roof levels,NDMA_RVS_Primer,Form A:BCBM p.31 / IS 13935 Cl.11.3 p.15,pre_earthquake
P023,tie_columns_present,vulnerability,structural_details,boolean,,,Tie columns at wall junctions in confined masonry,NDMA_RVS_Primer,Form A:CM RED 3.12 p.35,pre_earthquake
P024,through_stones_present,vulnerability,structural_details,boolean,,,Through-stones bonding multi-wythe stone walls,NDMA_RVS_Primer,Form A:RRSM p.39 / IS 13935 Table 3 p.8,pre_earthquake
P025,wall_opening_ratio,vulnerability,geometry,float,,,Ratio of total opening length to wall length,IS_13935_2009,Table 3 p.8,pre_earthquake
P026,wall_thickness,vulnerability,geometry,float,,mm,Masonry wall thickness,IS_13935_2009,Table 3 p.8 / Forms 1-4 pp.33-36,pre_earthquake
P027,construction_quality,vulnerability,construction_details,categorical,"good;fair;poor",,Quality of construction materials and workmanship,NDMA_RVS_Primer,Form A:RC YELLOW 7.1 p.28 / IS 13935 Cl.7 p.5,pre_earthquake
P028,maintenance_condition,vulnerability,construction_details,categorical,"good;fair;poor",,Current maintenance and deterioration state,IS_13935_2009,Cl.7 p.5,pre_earthquake
P029,importance_factor,vulnerability,use,float,,,Building importance factor per IS 1893 (1.0 or 1.5),IS_13935_2009,Table 2 Cl.8.1 p.7,pre_earthquake
P030,rvs_tag,vulnerability,assessment_output,categorical,"green;yellow;red",,NDMA Level 1 RVS final occupancy tag,NDMA_RVS_Primer,Ch.3 pp.17-18 / All Forms,pre_earthquake
P031,ems98_vulnerability_class,vulnerability,classification,categorical,"A;B;C;D;E;F",,EMS-98 vulnerability class assignment,EMS_98,Vulnerability Table p.14,pre_earthquake
P032,is13935_building_type,building_typology,classification,categorical,"A;A+;B;B+;C;C+;D",,IS 13935 / MSK masonry vulnerability class,IS_13935_2009,Table 8 Cl.A-4 pp.28-29,pre_earthquake
